name,abbreviation,description,created_at,updated_at
Accounting,ACCT,,"2023-07-03 10:09:40","2023-07-03 10:09:40"
"Accounting, Business, and Management",ABM,,"2025-01-20 15:13:15","2025-01-20 15:13:15"
"Administration and Management",MGMT,,"2023-07-03 10:10:25","2024-03-22 09:39:30"
Education,EDUC,,"2024-06-14 14:54:39","2024-06-14 14:54:39"
"Information and Communication Technologies",ICT,,"2023-06-27 09:34:43","2023-06-27 09:34:43"
"Information Technology",IT,,"2025-01-22 12:40:16","2025-01-22 12:40:16"
Others,Others,,"2024-09-17 09:36:59","2024-09-17 09:36:59"
"Science, Technology, Engineering, and Mathematics",STEM,,"2026-01-19 06:29:24","2026-01-19 06:29:24"
