name,created_at,updated_at
ABM,2024-01-08,"2024-02-12 08:20:04"
ACCTG,,"2023-04-03 15:52:20"
GAS,2024-01-08,"2024-01-08 07:35:52"
HUMSS,2023-03-30,"2023-03-30 08:04:51"
ICT,,"2023-04-03 15:52:12"
STEM,2024-01-08,"2024-01-08 07:36:03"
