name,created_at,updated_at
"College On-the-Job-Training","2023-08-31 08:38:47","2023-08-31 08:38:47"
"Continuing Studies","2023-08-31 08:39:26","2023-08-31 08:39:26"
Seminar,"2023-08-31 08:39:44","2023-08-31 08:39:53"
"Senior High School Work Immersion","2023-08-31 08:37:31","2024-02-08 06:59:15"
"Special Training","2023-08-31 08:40:07","2023-08-31 08:40:07"
Workshop,"2023-08-31 08:39:08","2023-08-31 08:39:08"
